"location","beta.locationRabida","se.locationRabida","W.locationRabida","p_val.locationRabida","q_val.locationRabida","diff_abn.locationRabida"
"gene_37",4.93552016204643,0.930387150967847,5.30480258343228,1.12794999278722e-07,5.30136496609994e-06,TRUE
"gene_39",5.92146616952426,1.33650029256142,4.43057603689387,9.39817008760015e-06,0.000413519483854407,TRUE
"gene_134",-4.14406815109367,1.14000634206567,-3.63512727796293,0.000277843428326156,0.0119472674180247,TRUE
"gene_137",4.23086847348847,1.66203029468427,2.54560250015912,0.0109089331621376,0.403630526999092,FALSE
"gene_165",-4.46353394296791,0.89043015995128,-5.01278386977833,5.36481450535213e-07,2.46781467246198e-05,TRUE
"gene_177",4.28264879048971,0.861150422413882,4.97317156099751,6.58663214244611e-07,2.96398446410075e-05,TRUE
"gene_195",3.44255178904418,1.62621999267943,2.11690411170759,0.0342679866486243,1,FALSE
"gene_196",-6.2610700316842,0.948670557916009,-6.59983592769886,4.11613059893634e-11,2.09922660545753e-09,TRUE
"gene_199",3.02411216044697,0.947915871163841,3.19027484657894,0.00142137546623121,0.0568550186492485,FALSE
"gene_205",3.67902765839632,1.66767667103488,2.20607970495462,0.0273784194530543,0.985623100309954,FALSE
"gene_209",5.16253291213247,0.942752638107292,5.47602064789442,4.34996953803745e-08,2.08798537825798e-06,TRUE
"gene_213",5.41408129229136,0.872093293957638,6.20814462145646,5.36138014527016e-10,2.62707627118238e-08,TRUE
"gene_220",5.14455331878841,1.58773068781649,3.24019265878359,0.00119448963358623,0.0489740749770356,TRUE
"gene_293",4.33848765687371,1.57198829313689,2.75987275211592,0.00578238793304803,0.225513129388873,FALSE
"gene_298",-2.33779597003367,0.862283871950711,-2.7111674543384,0.00670467566818318,0.254777675390961,FALSE
"gene_308",-2.77966065002,0.817701785712526,-3.39935744129245,0.000675443808604111,0.0283686399613726,TRUE
"gene_327",4.47319181585887,0.713930281366508,6.26558633610118,3.71425139736257e-10,1.85712569868129e-08,TRUE
